gene	intron	contig	number	location
Vbra_22465	7	Vbra_scaffold1001_gene1	1	2342
Vbra_90	1	Vbra_scaffold1002_gene3	1	608
Vbra_91	11	Vbra_scaffold1002_gene3	2	2259
Vbra_92	11	Vbra_scaffold1002_gene3	3	4043
Vbra_10816	1	Vbra_scaffold101_gene68	1	427
Vbra_10817	17	Vbra_scaffold101_gene68	2	4939
Vbra_10818	1	Vbra_scaffold101_gene68	3	8639
Vbra_10819	3	Vbra_scaffold101_gene68	4	9375
Vbra_10820	1	Vbra_scaffold101_gene68	5	10131
Vbra_10821	7	Vbra_scaffold101_gene68	6	11509
Vbra_10822	5	Vbra_scaffold101_gene68	7	12668
Vbra_10823	5	Vbra_scaffold101_gene68	8	13950
Vbra_10824	1	Vbra_scaffold101_gene68	9	14777
Vbra_10825	5	Vbra_scaffold101_gene68	10	15843
Vbra_10826	7	Vbra_scaffold101_gene68	11	17529
Vbra_10827	13	Vbra_scaffold101_gene68	12	19758
Vbra_10828	15	Vbra_scaffold101_gene68	13	21703
Vbra_10829	3	Vbra_scaffold101_gene68	14	23432
Vbra_10830	15	Vbra_scaffold101_gene68	15	25764
Vbra_10831	13	Vbra_scaffold101_gene68	16	28273
Vbra_10832	7	Vbra_scaffold101_gene68	17	29869
Vbra_10833	7	Vbra_scaffold101_gene68	18	31211
Vbra_10834	13	Vbra_scaffold101_gene68	19	32450
Vbra_10835	27	Vbra_scaffold101_gene68	20	35239
Vbra_10836	7	Vbra_scaffold101_gene68	21	38024
Vbra_10837	9	Vbra_scaffold101_gene68	22	40243
Vbra_10838	15	Vbra_scaffold101_gene68	23	45337
Vbra_10839	7	Vbra_scaffold101_gene68	24	47654
Vbra_10840	51	Vbra_scaffold101_gene68	25	51525
Vbra_10841	5	Vbra_scaffold101_gene68	26	55275
Vbra_10842	57	Vbra_scaffold101_gene68	27	64532
Vbra_10843	5	Vbra_scaffold101_gene68	28	74050
Vbra_10844	15	Vbra_scaffold101_gene68	29	75871
Vbra_10845	7	Vbra_scaffold101_gene68	30	78138
Vbra_10846	7	Vbra_scaffold101_gene68	31	79746
Vbra_10847	27	Vbra_scaffold101_gene68	32	83119
Vbra_10848	9	Vbra_scaffold101_gene68	33	86162
Vbra_10849	5	Vbra_scaffold101_gene68	34	87551
Vbra_10850	11	Vbra_scaffold101_gene68	35	89537
Vbra_10851	9	Vbra_scaffold101_gene68	36	93397
Vbra_10852	2	Vbra_scaffold101_gene68	37	95273
Vbra_10853	3	Vbra_scaffold101_gene68	38	96133
Vbra_10854	3	Vbra_scaffold101_gene68	39	97006
Vbra_10855	21	Vbra_scaffold101_gene68	40	100490
Vbra_10856	7	Vbra_scaffold101_gene68	41	105157
Vbra_10857	3	Vbra_scaffold101_gene68	42	107796
Vbra_10858	8	Vbra_scaffold101_gene68	43	109902
Vbra_10859	1	Vbra_scaffold101_gene68	44	110627
Vbra_10860	7	Vbra_scaffold101_gene68	45	112889
Vbra_10861	97	Vbra_scaffold101_gene68	46	118850
Vbra_10862	75	Vbra_scaffold101_gene68	47	129292
Vbra_10863	5	Vbra_scaffold101_gene68	48	139279
Vbra_10864	17	Vbra_scaffold101_gene68	49	140730
Vbra_10865	23	Vbra_scaffold101_gene68	50	143294
Vbra_10866	19	Vbra_scaffold101_gene68	51	146310
Vbra_10867	41	Vbra_scaffold101_gene68	52	151004
Vbra_10868	5	Vbra_scaffold101_gene68	53	155915
Vbra_10869	43	Vbra_scaffold101_gene68	54	160771
Vbra_10870	31	Vbra_scaffold101_gene68	55	168424
Vbra_10871	9	Vbra_scaffold101_gene68	56	173849
Vbra_10872	3	Vbra_scaffold101_gene68	57	175697
Vbra_10873	5	Vbra_scaffold101_gene68	58	177400
Vbra_10874	10	Vbra_scaffold101_gene68	59	180188
Vbra_10875	9	Vbra_scaffold101_gene68	60	183366
Vbra_10876	7	Vbra_scaffold101_gene68	61	185144
Vbra_10877	35	Vbra_scaffold101_gene68	62	190172
Vbra_10878	19	Vbra_scaffold101_gene68	63	195861
Vbra_10879	37	Vbra_scaffold101_gene68	64	199753
Vbra_10880	5	Vbra_scaffold101_gene68	65	203103
Vbra_10881	17	Vbra_scaffold101_gene68	66	204962
Vbra_10882	21	Vbra_scaffold101_gene68	67	207295
Vbra_10883	31	Vbra_scaffold101_gene68	68	210546
Vbra_23243	1	Vbra_scaffold1022_gene2	1	303
Vbra_23244	1	Vbra_scaffold1022_gene2	2	3089
Vbra_23142	3	Vbra_scaffold1023_gene1	1	2029
Vbra_10884	15	Vbra_scaffold1024_gene2	1	1258
Vbra_10885	7	Vbra_scaffold1024_gene2	2	3269
Vbra_1052	21	Vbra_scaffold1026_gene2	1	1612
Vbra_1053	1	Vbra_scaffold1026_gene2	2	3739
Vbra_1434	9	Vbra_scaffold103_gene63	1	417
Vbra_1435	15	Vbra_scaffold103_gene63	2	2328
Vbra_1436	23	Vbra_scaffold103_gene63	3	5165
Vbra_1437	9	Vbra_scaffold103_gene63	4	7704
Vbra_1438	19	Vbra_scaffold103_gene63	5	10316
Vbra_1439	17	Vbra_scaffold103_gene63	6	13084
Vbra_1440	5	Vbra_scaffold103_gene63	7	15343
Vbra_1441	13	Vbra_scaffold103_gene63	8	16899
Vbra_1442	3	Vbra_scaffold103_gene63	9	18445
Vbra_1443	3	Vbra_scaffold103_gene63	10	19089
Vbra_1444	3	Vbra_scaffold103_gene63	11	19979
Vbra_1445	35	Vbra_scaffold103_gene63	12	24886
Vbra_1446	73	Vbra_scaffold103_gene63	13	32819
Vbra_1447	9	Vbra_scaffold103_gene63	14	42276
Vbra_1448	21	Vbra_scaffold103_gene63	15	44294
Vbra_1449	59	Vbra_scaffold103_gene63	16	48241
Vbra_1450	7	Vbra_scaffold103_gene63	17	52047
Vbra_1451	43	Vbra_scaffold103_gene63	18	55525
Vbra_1452	11	Vbra_scaffold103_gene63	19	59015
Vbra_1453	17	Vbra_scaffold103_gene63	20	61165
Vbra_1454	5	Vbra_scaffold103_gene63	21	63063
Vbra_1455	61	Vbra_scaffold103_gene63	22	68840
Vbra_1456	21	Vbra_scaffold103_gene63	23	76463
Vbra_1457	1	Vbra_scaffold103_gene63	24	79928
Vbra_1458	5	Vbra_scaffold103_gene63	25	81776
Vbra_1459	5	Vbra_scaffold103_gene63	26	82993
Vbra_1460	47	Vbra_scaffold103_gene63	27	86245
Vbra_1461	7	Vbra_scaffold103_gene63	28	89344
Vbra_1462	7	Vbra_scaffold103_gene63	29	90856
Vbra_1463	21	Vbra_scaffold103_gene63	30	93078
Vbra_1464	19	Vbra_scaffold103_gene63	31	97658
Vbra_1465	9	Vbra_scaffold103_gene63	32	101690
Vbra_1466	17	Vbra_scaffold103_gene63	33	104044
Vbra_1467	17	Vbra_scaffold103_gene63	34	107272
Vbra_1468	13	Vbra_scaffold103_gene63	35	110986
Vbra_1469	1	Vbra_scaffold103_gene63	36	113443
Vbra_1470	49	Vbra_scaffold103_gene63	37	116569
Vbra_1471	23	Vbra_scaffold103_gene63	38	120882
Vbra_1472	9	Vbra_scaffold103_gene63	39	123884
Vbra_1473	16	Vbra_scaffold103_gene63	40	125644
Vbra_1474	45	Vbra_scaffold103_gene63	41	129930
Vbra_1475	5	Vbra_scaffold103_gene63	42	134059
Vbra_1476	11	Vbra_scaffold103_gene63	43	135936
Vbra_1477	14	Vbra_scaffold103_gene63	44	137939
Vbra_1478	9	Vbra_scaffold103_gene63	45	140765
Vbra_1479	11	Vbra_scaffold103_gene63	46	143696
Vbra_1480	7	Vbra_scaffold103_gene63	47	145565
Vbra_1481	17	Vbra_scaffold103_gene63	48	147725
Vbra_1482	33	Vbra_scaffold103_gene63	49	153880
Vbra_1483	21	Vbra_scaffold103_gene63	50	161130
Vbra_1484	13	Vbra_scaffold103_gene63	51	164727
Vbra_1485	5	Vbra_scaffold103_gene63	52	167107
Vbra_1486	15	Vbra_scaffold103_gene63	53	169461
Vbra_1487	11	Vbra_scaffold103_gene63	54	171382
Vbra_1488	7	Vbra_scaffold103_gene63	55	173167
Vbra_1489	9	Vbra_scaffold103_gene63	56	176178
Vbra_1490	9	Vbra_scaffold103_gene63	57	180498
Vbra_1491	14	Vbra_scaffold103_gene63	58	182917
Vbra_1492	15	Vbra_scaffold103_gene63	59	185035
Vbra_1493	17	Vbra_scaffold103_gene63	60	187237
Vbra_1494	31	Vbra_scaffold103_gene63	61	190437
Vbra_1495	15	Vbra_scaffold103_gene63	62	193811
Vbra_1496	11	Vbra_scaffold103_gene63	63	202244
Vbra_23355	5	Vbra_scaffold1057_gene2	1	1021
Vbra_23356	1	Vbra_scaffold1057_gene2	2	2465
Vbra_23297	1	Vbra_scaffold1060_gene1	1	2473
Vbra_17	7	Vbra_scaffold1062_gene1	1	1918
Vbra_23147	1	Vbra_scaffold1097_gene3	1	540
Vbra_23148	5	Vbra_scaffold1097_gene3	2	1823
Vbra_23149	1	Vbra_scaffold1097_gene3	3	2631
Vbra_23102	7	Vbra_scaffold1099_gene1	1	1417
Vbra_23215	3	Vbra_scaffold1100_gene1	1	1585
Vbra_23103	7	Vbra_scaffold1101_gene3	1	869
Vbra_23104	3	Vbra_scaffold1101_gene3	2	2122
Vbra_23105	1	Vbra_scaffold1101_gene3	3	2877
Vbra_23395	7	Vbra_scaffold1182_gene1	1	909
Vbra_23403	3	Vbra_scaffold1185_gene2	1	383
Vbra_23404	3	Vbra_scaffold1185_gene2	2	1276
Vbra_23214	3	Vbra_scaffold1186_gene1	1	907
Vbra_23285	1	Vbra_scaffold1188_gene1	1	206
Vbra_368	5	Vbra_scaffold1210_gene1	1	337
Vbra_23399	3	Vbra_scaffold1211_gene1	1	732
Vbra_23209	3	Vbra_scaffold1227_gene1	1	1185
Vbra_23110	9	Vbra_scaffold1234_gene1	1	639
Vbra_23145	1	Vbra_scaffold1235_gene1	1	721
Vbra_23400	7	Vbra_scaffold1240_gene1	1	701
Vbra_23363	3	Vbra_scaffold1241_gene1	1	699
Vbra_23122	11	Vbra_scaffold1251_gene1	1	663
Vbra_4545	27	Vbra_scaffold587_gene2	1	14532
Vbra_4546	5	Vbra_scaffold587_gene2	2	29961
Vbra_1263	5	Vbra_scaffold606_gene3	1	9674
Vbra_1264	13	Vbra_scaffold606_gene3	2	19530
Vbra_1265	3	Vbra_scaffold606_gene3	3	26113
Vbra_74	7	Vbra_scaffold611_gene4	1	5924
Vbra_75	15	Vbra_scaffold611_gene4	2	13619
Vbra_76	25	Vbra_scaffold611_gene4	3	19406
Vbra_77	23	Vbra_scaffold611_gene4	4	26184
Vbra_1266	31	Vbra_scaffold633_gene2	1	11399
Vbra_1267	11	Vbra_scaffold633_gene2	2	24188
Vbra_23281	19	Vbra_scaffold651_gene3	1	996
Vbra_23282	13	Vbra_scaffold651_gene3	2	5746
Vbra_23283	5	Vbra_scaffold651_gene3	3	7669
Vbra_10230	51	Vbra_scaffold675_gene3	1	4350
Vbra_10231	4	Vbra_scaffold675_gene3	2	11492
Vbra_10232	91	Vbra_scaffold675_gene3	3	17920
Vbra_6370	4	Vbra_scaffold726_gene3	1	5448
Vbra_6371	9	Vbra_scaffold726_gene3	2	6898
Vbra_6372	19	Vbra_scaffold726_gene3	3	12832
Vbra_426	13	Vbra_scaffold729_gene3	1	1416
Vbra_427	7	Vbra_scaffold729_gene3	2	4896
Vbra_428	21	Vbra_scaffold729_gene3	3	11140
Vbra_362	25	Vbra_scaffold730_gene3	1	2309
Vbra_363	3	Vbra_scaffold730_gene3	2	6882
Vbra_364	3	Vbra_scaffold730_gene3	3	10075
Vbra_18770	1	Vbra_scaffold738_gene3	1	1070
Vbra_18771	1	Vbra_scaffold738_gene3	2	5714
Vbra_18772	49	Vbra_scaffold738_gene3	3	11156
Vbra_23032	19	Vbra_scaffold740_gene3	1	1657
Vbra_23033	45	Vbra_scaffold740_gene3	2	7705
Vbra_23034	17	Vbra_scaffold740_gene3	3	13671
